id,Source,worth BUSD, worthChange millions USD
5214,Gambling & Casinos  ==> gambling,4,0
9848,Service  ==> self storage,4,0
4568,Fashion & Retail  ==> retail,4,0
9576,Fashion & Retail  ==> grocery stores,4,0
3472,Telecom  ==> telecom,4,0
8125,Fashion & Retail  ==> sporting goods retail,4,0
9331,Food and Beverage  ==> dairy,4,0
6897,Fashion & Retail  ==> home furnishings,4,0
9128,Fashion & Retail  ==> consumer goods,4,0
8098,Fashion & Retail  ==> consumer goods,4,0
5812,Fashion & Retail  ==> consumer goods,4,0
8030,Fashion & Retail  ==> consumer goods,4,0
8178,Finance and Investments  ==> private equity,4,0
3112,Food and Beverage  ==> energy drinks,4,0
9606,Fashion & Retail  ==> retail,4,0
5779,Automotive  ==> motorcycles,4,0
8842,Manufacturing  ==> auto parts,4,0
1966,Telecom  ==> telecom,4,0
4752,Fashion & Retail  ==> coffee makers,4,0
2543,"Food and Beverage  ==> Houston Rockets, entertainment",4,0
3899,"Fashion & Retail  ==> retail, real estate",4,0
4171,Energy  ==> natural gas,4,0
2654,Technology  ==> wireless networking gear,4,0
3906,Service  ==> pest control,4,0
3064,Service  ==> pest control,4,0
1614,Food and Beverage  ==> beer,4,0
7672,Food and Beverage  ==> beer,4,0
1255,Diversified  ==> diversified,4,0
2913,Fashion & Retail  ==> retail,4,0
9845,"Sports  ==> staffing, Baltimore Ravens",4,0
2788,Food and Beverage  ==> Cargill,4,0
2542,Food and Beverage  ==> Cargill,4,0
1060,"Manufacturing  ==> timberland, lumber mills",4,0
2558,"Manufacturing  ==> elevators, escalators",4,0
2394,Diversified  ==> diversified,4,0
7080,Fashion & Retail  ==> retail,4,0
7980,Food and Beverage  ==> Cargill,4,0
1150,Technology  ==> Snapchat,4,0
5162,Real Estate  ==> real estate,4,0
2537,"Energy  ==> utilities, telecom",4,0
4044,Finance and Investments  ==> investments,4,0
7103,Energy  ==> natural gas distribution,4,0
2308,Finance and Investments  ==> investments,4,0
9907,Sports  ==> Home Depot,4,0
1882,Diversified  ==> diversified,4,0
9614,Technology  ==> mapping software,4,0
7045,Energy  ==> petrochemicals,4,0
9593,Real Estate  ==> shopping malls,4,0
7966,Fashion & Retail  ==> sunglasses,4,0
4192,Diversified  ==> diversified,4,-19
