Source,worth BUSD, worthChange millions USD,age,gender,country,image,name,position
real estate  ==> real estate,1,0,66,male,none,https://specials-images.forbesimg.com/imageserve/beb773dd7c933c68e881a0d5b72f89ae/416x416.jpg?background=000000&cropx1=3&cropx2=744&cropy1=3&cropy2=744,zhang guiping,1864
technology  ==> it products,1,0,51,male,none,https://specials-images.forbesimg.com/imageserve/589f2d6e31358e1a35ab274c/416x416.jpg?background=000000&cropx1=43&cropx2=703&cropy1=192&cropy2=853,zhao weiguo,1865
manufacturing  ==> electrical equipment,1,0,57,none,china,https://specials-images.forbesimg.com/imageserve/562a57ede4b0ffa7afe63004/416x416.jpg?background=000000&cropx1=105&cropx2=744&cropy1=82&cropy2=722,zheng jianjiang,1866
finance and investments  ==> investments,1,0,58,none,qatar,https://specials-images.forbesimg.com/imageserve/5a8071fc31358e4955ad284c/416x416.jpg?background=000000&cropx1=0&cropx2=720&cropy1=62&cropy2=782,hamad bin jassim bin jaber al thani,1867
diversified  ==> diversified,1,1,-2019,male,none,https://specials-images.forbesimg.com/imageserve/5a8071fc31358e4955ad284c/416x416.jpg?background=000000&cropx1=0&cropx2=720&cropy1=62&cropy2=782,fawzi al-kharafi,1868
diversified  ==> diversified,1,1,-2019,male,none,https://specials-images.forbesimg.com/imageserve/5a8071fc31358e4955ad284c/416x416.jpg?background=000000&cropx1=0&cropx2=720&cropy1=62&cropy2=782,mohannad al-kharafi,1869
fashion & retail  ==> fashion retail,1,0,64,none,spain,https://specials-images.forbesimg.com/imageserve/58a27c03a7ea431f32197606/416x416.jpg?background=000000&cropx1=2&cropx2=744&cropy1=77&cropy2=820,isak andic,1870
finance and investments  ==> venture capital investing,1,0,46,male,united states,https://specials-images.forbesimg.com/imageserve/58c1d11ca7ea431f321adcf8/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=84&cropy2=828,marc andreessen,1871
metals & mining  ==> steel,1,0,55,male,none,https://specials-images.forbesimg.com/imageserve/58c1d11ca7ea431f321adcf8/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=84&cropy2=828,jose maria aristrain,1872
finance and investments  ==> money management,1,0,81,male,none,https://specials-images.forbesimg.com/imageserve/58c1d11ca7ea431f321adcf8/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=84&cropy2=828,thomas bailey,1873
finance and investments  ==> commodities,1,0,67,male,none,https://specials-images.forbesimg.com/imageserve/5a7f22814bbe6f2652f52e70/416x416.jpg?background=000000&cropx1=623&cropx2=3280&cropy1=11&cropy2=2666,harindarpal banga,1874
"construction & engineering  ==> investments, real estate",1,0,55,female,none,https://specials-images.forbesimg.com/imageserve/5a80a38831358e4955ad2ac1/416x416.jpg?background=000000&cropx1=0&cropx2=1693&cropy1=35&cropy2=1727,elena baturina,1875
fashion & retail  ==> cosmetics,1,0,72,male,none,https://specials-images.forbesimg.com/imageserve/5a80a38831358e4955ad2ac1/416x416.jpg?background=000000&cropx1=0&cropx2=1693&cropy1=35&cropy2=1727,eduardo belmont anderson,1876
fashion & retail  ==> supermarkets,1,0,45,male,poland,https://specials-images.forbesimg.com/imageserve/5a80a38831358e4955ad2ac1/416x416.jpg?background=000000&cropx1=0&cropx2=1693&cropy1=35&cropy2=1727,tomasz biernacki,1877
"diversified  ==> banking, oil",1,6,74,male,none,https://specials-images.forbesimg.com/imageserve/5a80a38831358e4955ad2ac1/416x416.jpg?background=000000&cropx1=0&cropx2=1693&cropy1=35&cropy2=1727,zadik bino,1878
"fashion & retail  ==> retail, agribusiness",1,0,58,male,australia,https://specials-images.forbesimg.com/imageserve/56a03e89e4b0ed854f529426/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=232&cropy2=976,brett blundy,1879
"diversified  ==> banking, investments",1,0,56,male,none,https://specials-images.forbesimg.com/imageserve/56cc590ce4b062f6b59a507b/416x416.jpg?background=000000&cropx1=2&cropx2=744&cropy1=156&cropy2=899,henadiy boholyubov,1880
finance and investments  ==> money management,1,0,75,male,none,https://specials-images.forbesimg.com/imageserve/5a9095bc31358e79a28a1f8c/416x416.jpg?background=000000&cropx1=163&cropx2=1805&cropy1=0&cropy2=1641,charles brandes,1881
